AnoMesProcessamento,Total
2020-01,1080
2020-02,1063
2020-03,1433
2020-04,965
2020-05,889
2020-06,598
2020-07,688
2020-08,808
2020-09,751
2020-10,795
2020-11,903
2020-12,1018
2021-01,1214
2021-02,1306
2021-03,1257
2021-04,1045
2021-05,1062
2021-06,1327
2021-07,1094
2021-08,1332
2021-09,1241
2021-10,1238
2021-11,1406
2021-12,1682
2022-01,1814
2022-02,1393
2022-03,1662
2022-04,1890
2022-05,2179
2022-06,1852
2022-07,2120
2022-08,1680
2022-09,1826
2022-10,1355
2022-11,1490
2022-12,1374
2023-01,1349
2023-02,1333
2023-03,1796
2023-04,2262
2023-05,2752
2023-06,2990
2023-07,3149
2023-08,2449
2023-09,1600
2023-10,1578
2023-11,1663
2023-12,1342
2024-01,1262
2024-02,1194
2024-03,1642
2024-04,2046
2024-05,2744
2024-06,2793
2024-07,2403
2024-08,1862
2024-09,1774
2024-10,1668
2024-11,1547
2024-12,1586
2025-01,1745
2025-02,1339
2025-03,1698
